Compound ID,SMILES,mw,logp,hbd,hba,tpsa,rotb,rings,heavy,qed,n_stereo,conformer_ok
cpd_425000,CC1CCN(C(=O)Cn2c(=O)c3c(n(C)c2=O)n(C)c(=O)n3C)CC1,349.175004216,-1.0040999999999978,0,4,91.24000000000001,2,3,25,0.695031886778863,0,True
cpd_435000,CC1CCCCN1C(=O)Cn1c(=O)n(C)c2c1c(=O)n(C)c(=O)n2C,349.17500421600005,-0.8615999999999979,0,4,91.24000000000001,2,3,25,0.7052885440597151,0,True
cpd_450000,CC1CCN(C(=O)Cn2c(=O)n(C)c3c2c(=O)n(C)c(=O)n3C)CC1,349.175004216,-1.0040999999999978,0,4,91.24000000000001,2,3,25,0.695031886778863,0,True
cpd_90000,CN1CCN(C(=O)C2CCN(C(=O)c3ccc(F)cc3)CC2)CC1,333.18525522799996,1.4518999999999997,0,3,43.86,2,3,24,0.8228289197348685,0,True
cpd_495000,CN1CCN(C(=O)C2CCN(C(=O)c3ccccc3F)CC2)CC1,333.18525522799996,1.4518999999999997,0,3,43.86,2,3,24,0.8228289197348685,0,True
cpd_455000,Cn1c(=O)c2c(ncn2CC(=O)N2CCc3ccccc32)n(C)c1=O,339.133139404,0.02299999999999902,0,4,82.13,2,4,25,0.6591878175071304,0,True
cpd_445000,Cc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)N1CC(C)CC(C)C1,347.19573966,0.24662000000000028,0,4,82.13,2,3,25,0.7795355192850482,0,True
cpd_400000,CN1CCCN(C(=O)C2CCC(C(=O)N3CCCOCC3)CC2)CC1,351.252191916,1.2058000000000002,0,4,53.09,2,3,25,0.7503055891858001,0,True
cpd_505000,CC1CCN(C(=O)CN2C(=O)N(C)C3C2N(C)S(=O)(=O)N3C)CC1,359.16272528,-0.6134999999999975,0,4,84.48,2,3,24,0.6581618960557122,0,True
cpd_150000,CN1CCN(C(=O)C2CCC(=O)N(CCCN3CCCC3=O)C2)CC1,350.23179081999996,0.011500000000002286,0,4,64.17000000000002,5,3,25,0.7007915202579943,0,True
cpd_605000,CC1CCN(S(=O)(=O)N2CCN(C(=O)C3CCCO3)CC2)CC1,345.172227344,0.2863000000000018,0,4,70.16000000000001,3,3,23,0.7369715877611029,0,True
cpd_205000,CS(=O)(=O)N1CCN(C(=O)C2CC(=O)N(c3ccccc3)C2)CC1,351.125277152,0.14330000000000043,0,4,78.0,3,3,24,0.7762468444781562,0,True
cpd_450000,O=C(C1CCN(S(=O)(=O)N2CCCCC2)CC1)N1CCOCC1,345.172227344,0.2879000000000016,0,4,70.16000000000001,3,3,23,0.737049886013435,0,True
cpd_600000,O=C(C1CCCN(S(=O)(=O)N2CCCCC2)C1)N1CCOCC1,345.172227344,0.2879000000000016,0,4,70.16000000000001,3,3,23,0.737049886013435,0,True
cpd_180000,Cn1c(=O)c2ccccc2n(CC(=O)N2CCc3ccccc3C2)c1=O,349.14264146799997,1.2851,0,3,64.31,2,4,26,0.7001929377880062,0,True
cpd_570000,CC(=O)N1CCN(S(=O)(=O)c2ccc3c(c2)CCN3C(C)=O)CC1,351.125277152,0.44840000000000035,0,4,78.0,2,3,24,0.7749642777423887,0,True
cpd_345000,CC(=O)N1CCC(C(=O)N2CCN(C(=O)c3ccccc3)CC2)CC1,343.18959166,1.2294999999999996,0,3,60.93000000000001,2,3,25,0.8114107557499858,0,True
cpd_105000,CN1CCN(C(=O)CN(C)S(=O)(=O)c2cccc(F)c2F)CC1,347.11151890800005,0.35929999999999995,0,4,60.93,4,2,23,0.7890886444715457,0,True
cpd_175000,CN1CCN(C(=O)CN(C)S(=O)(=O)c2c(F)cccc2F)CC1,347.11151890800005,0.35929999999999995,0,4,60.93,4,2,23,0.7890886444715457,0,True
cpd_5000,O=C(N1CCOCC1)N1CCN(S(=O)(=O)c2ccccc2)CC1,339.125277152,0.44510000000000005,0,4,70.16,2,3,23,0.7841703132585585,0,True
cpd_245000,CN1CCN(C(=O)C2CC(=O)N(c3ccc(C(F)(F)F)cc3)C2)CC1,355.15076153999996,1.8323,0,3,43.86000000000001,2,3,25,0.8131054757369741,0,True
cpd_535000,CC(=O)N1CCC(C(=O)N2CCN(S(=O)(=O)N(C)C)CC2)CC1,346.167476312,-0.8044999999999969,0,4,81.24,3,2,23,0.66967572194326,0,True
cpd_645909,CN1CCC(N2CCN(S(=O)(=O)N3CCOCC3)CC2)CC1,332.188211756,-0.7247999999999954,0,5,56.33,3,3,22,0.6824003558742835,0,True
cpd_270000,Cn1c(=O)c2c(nc(N3CCN(c4ccccc4)CC3)n2C)n(C)c1=O,354.180423944,0.2973000000000001,0,5,68.30000000000001,2,4,26,0.6620391337969527,0,True
cpd_100000,Cn1c(=O)n(CCN2CCOCC2)c(=O)c2c3ccccc3n(C)c21,342.169190564,0.5241000000000005,0,4,61.400000000000006,3,4,25,0.6964100532874182,0,True
cpd_370000,Cn1c(=O)c2c3ccccc3n(CCN3CCOCC3)c2n(C)c1=O,342.16919056399996,0.5240999999999996,0,4,61.400000000000006,3,4,25,0.6964100532874182,0,True
cpd_215000,CN1CCN(C(=O)C2CCN(C(=O)c3ccc(Cl)cc3)CC2)CC1,349.155704688,1.9662000000000004,0,3,43.86,2,3,24,0.8195561314364876,0,True
cpd_380000,CN1CCN(C(=O)Cn2cc(C(F)(F)F)ccc2=O)CC1,303.11946141199996,0.6411,0,3,45.55,2,2,21,0.8053800226293439,0,True
cpd_40000,Cn1cc(S(=O)(=O)N2CCc3ccccc3C2)c(=O)n(C)c1=O,335.093977024,-0.16899999999999937,0,4,81.38,2,3,23,0.7630624217207682,0,True
cpd_80000,CC(=O)N1CCC(N2CCC(C(=O)N3CCOCC3)CC2)CC1,323.220891788,0.5681000000000009,0,4,53.09,2,3,23,0.7454181972194904,0,True
cpd_90000,CN1CCN(S(=O)(=O)c2ccccc2)C(C(=O)N2CCOCC2)C1,353.140927216,-0.1498999999999988,0,5,70.16000000000001,3,3,24,0.7558956637169303,0,True
cpd_135000,O=C(N1CCOCC1)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,357.11585534,0.5842,0,4,70.16,2,3,24,0.7765799402224781,0,True
cpd_315000,O=C(N1CCOCC1)N1CCN(S(=O)(=O)c2ccccc2F)CC1,357.11585534,0.5842000000000005,0,4,70.16,2,3,24,0.7765799402224781,0,True
cpd_465000,O=C(N1CCOCC1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,357.11585534,0.5842000000000003,0,4,70.16,2,3,24,0.7765799402224781,0,True
cpd_190000,Cn1c(=O)n(C)c(=O)n(-c2ccccc2C(F)(F)F)c1=O,301.06742583999994,0.25369999999999926,0,3,66.0,1,2,21,0.7583676916669102,0,True
cpd_335000,Cn1c(=O)n(C)c(=O)n(-c2cccc(C(F)(F)F)c2)c1=O,301.06742583999994,0.2536999999999995,0,3,66.0,1,2,21,0.7583676916669102,0,True
